城市,年份,文本内容,economic_growth_goal
上海市,2016,"         
	上海市市长杨雄

                        ",8%
上海市,2006,"
关于上海市国民经济和社会发展第十一个五年规划纲要（草案）的报告 　　 

——2006年1月15日在上海市第十二届人民代表大会第四次会议　　

上海市市长韩正 

　　各位代表：　　上海市国民经济和社会发展第十一个五年规划，是上海全面贯彻落实科学发展观，深入推进科教兴市主战略，加快建设国际经济、金融、贸易、航运中心的重要规划。根据《中共上海市委关于制定上海市国民经济和社会发展第十一个五年规划的建议》，上海市人民政府编制了《上海市国民经济和社会发展第十一个五年规划纲要(草案)》。现在，我代表上海市人民政府，向大会作报告，请各位代表连同《纲要(草案)》一并审议，并请各位政协委员和其他列席人员提出意见。　　一、“十五”计划确定的目标和任务全面完成　　“十五”时期是不平凡的五年。全市人民在党中央、国务院和中共上海市委的领导下，以邓小平理论和“三个代表”重要思想为指导，认真贯彻落实科学发展观和构建社会主义和谐社会的重大战略思想，大力实施科教兴市主战略，着力增强城市综合竞争力，开拓进取，奋力拼搏，圆满完成了“十五”计划确定的目标和任务，在二十世纪九十年代历史性变化的基础上，取得了经济社会发展的新进步、新成就。　　(一)着力推进经济结构战略性调整，国民经济保持平稳健康发展。把贯彻中央宏观调控决策与经济结构调整结合起来，努力保持速度与结构、质量、效益相统一，预计全市生产总值年均增长11.5%，连续14年保持两位数增长，2005年地方财政收入达到1434亿元，万元生产总值综合能耗从2000年的1.14吨标准煤下降到2005年的0.93吨标准煤。坚持“三、二、一”产业发展方针，新型产业体系加快建设，二、三产业共同推动经济发展的格局进一步巩固，现代服务业快速发展，先进制造业能级不断提升，农业结构调整取得阶段性成效。产业布局进一步优化，中心城区服务业规模不断扩大，2005年第三产业增加值比重预计达到75%；郊区先进制造业集聚发展，产业基地建设成效明显，郊区已成为先进制造业发展的重要基地，2005年全市工业总产值中郊区的比重超过80%。消费需求逐步扩大，投资和出口结构继续优化，保持了投资、消费、出口共同拉动经济增长的格局。　　(二)全面推进枢纽型、功能性、网络化重大基础设施建设，不断加大城市管理和环境保护的力度，城市面貌发生显著变化。“三港两网”建设取得阶段性进展，城市集聚辐射功能显著增强。上海国际航运中心建设实现重大突破，洋山深水港区一期工程建成并投入运营，上海港集装箱吞吐量位列世界第三，货物吞吐量排名世界第一。上海航空枢纽建设取得新进展，2005年机场客、货吞吐量预计分别比2000年增长1.3倍和2.1倍。轨道交通基本网络建设全面推进，2005年运营里程达到123公里。市域高速公路网框架基本形成，2005年通车里程达到560公里。磁浮示范运营线、浦东铁路一期工程等重要交通设施相继建成。城市信息化建设进一步加强，信息基础设施综合服务功能明显增强，信息技术应用水平不断提高。市政和公用事业在改革中加快发展，城市管理现代化水平迈上新台阶。环境保护与生态建设力度不断加大，“十五”环保投入总量是“九五”的两倍，完成了前两轮环保三年行动计划，建成国家园林城市，预计2005年市区绿化覆盖率达到37%，人均公共绿地面积达到11平方米，比2000年增长了1.4倍，城市总体环境质量明显改善。　　(三)加强体制机制创新，改革开放取得明显进展。政府、企业、市场、社会综合配套改革深入推进。政府职能“强化、弱化、转化”不断加快，服务政府、责任政府、法治政府建设取得明显进展。国有和国有控股公司股权多元化改造基本完成，新型国资监管体制框架初步建立，利用外资规模不断扩大，非公有制经济迅速发展，国资、外资、民资共同推动经济发展的格局初步形成，预计五年外商直接投资实到金额超过280亿美元，2005年非公经济增加值占市生产总值的比重达到42.5%。资本、技术、人才等要素市场功能不断拓展，金融市场体系进一步完善。中介机构和行业协会在快速发展中不断规范。积极应对加入世贸组织后的新变化，浦东先行先试的优势得到充分发挥，服务贸易等领域的开放不断扩大，对外贸易快速增长，上海口岸功能明显增强，2005年口岸进出口总额预计达到3506亿美元，是2000年的3.2倍。对口支援工作进一步加强，服务全国水平不断提高。与港澳台等地区的经贸合作进一步深化。　　(四)全面加快社会事业发展，深入推进精神文明建设，社会事业发展水平和城市文明程度不断提升。社会事业投入明显加大，集中建设了一批社会事业功能性项目和公益性设施。落实《上海实施科教兴市战略行动纲要》，科技创新力度明显加大，创新环境进一步优化，全社会研究与开发经费支出相当于市生产总值的比例从2000年的1.60%提高到2005年的2.34%。取得一批关键技术的自主知识产权，重大科研成果明显增多，2005年发明专利申请量比2000年增长了1.1倍。以教育综合改革试验推动教育事业快速发展，城乡基础教育办学条件明显改善，高校布局调整初步完成，职业教育得到加强。完成了公共卫生体系建设和健康城市建设两个三年行动计划，全市社区卫生服务中心和乡镇卫生院进行了标准化建设，一大批公立医院得到了改建和扩建，公共卫生应急处置和医疗服务能力明显增强。全市人民众志成城，守望相助，成功抗击非典疫情。文化体制改革取得成效，成功举办了一系列重要文化活动和体育赛事，建成一大批社区文化体育活动设施。精神文明创建活动扎实开展，上海城市精神得到大力弘扬。　　(五)着力解决关系群众切身利益的实际问题，人民生活水平和质量不断提高。实施积极的就业政策，加大了政府扶持创业和就业援助的力度，新增了大量就业岗位，一大批就业困难群众重新走上了工作岗位。2005年城镇登记失业率预计为4.5%以内。社会保障体系建设全面推进，包含养老、医疗、失业、生育、工伤五个险种的城镇社会保险制度基本建立；小城镇社会保险制度顺利实施，成为郊区离土农民的基本保障制度；对65岁以上农民实行了养老金政府补贴政策，农村合作医疗基本实现全覆盖；外来从业人员综合保险参保人数不断增加。加强社会救助工作，完善了最低生活保障制度，实施了大病医疗救助、义务教育阶段“两免一补”、非义务教育阶段教育资助等救助政策，基本实现应保尽保。全面推行农村税费改革，率先免征农业税。2005年城市和农村居民家庭人均可支配收入预计分别比2000年增长72. 

5%和49.9%。2005年城镇居民人均住房使用面积预计达到21.3平方米，比2000年增加了5平方米。廉租住房覆盖面不断扩大，旧住房综合改造加快推进，一大批困难群众的居住条件得到改善。城乡居民家庭消费结构明显改善，物质文化生活进一步丰富。　　在党中央、国务院的直接领导下，在全国人民的大力支持下，经过上海人民的不懈努力，中国2010年上海世博会申办成功，反映了我国改革开放和现代化建设的丰硕成果，体现了上海的发展成就和城市魅力。举办世博会，已成为推动上海经济社会发展的重大契机。目前世博会各项筹备工作正在扎实有序推进。　　各位代表，回顾“十五”发展历程，我们深感成绩来之不易。五年来，我们始终坚持抓好发展这个党执政兴国的第一要务，积极探索中国特色、时代特征、上海特点的发展新路；始终坚持连续性、稳定性、开拓性有机统一和开创性、坚韧性、操作性有机统一，不断突破瓶颈、破解难题；始终坚持发挥浦东先行先试的示范带动作用，不断深化改革、扩大开放；始终坚持正确处理改革发展稳定的关系，把广大人民群众的根本利益作为一切工作的出发点和落脚点。所有这些，是过去五年上海取得新成就的集中体现，也是未来上海再创新辉煌的宝贵财富。　　五年来，全市人民用辛劳与智慧、激情与拼搏，谱写了上海发展史册新的篇章。今天的上海，正在成为一座世人瞩目、生机勃勃、活力迸发的社会主义现代化国际大都市。在此，我谨代表上海市人民政府，向为上海建设和发展做出卓越贡献的全体上海人民，表示崇高的敬意和由衷的感谢！向给予政府工作大力支持的人大代表和政协委员，向各民主党派、工商联和社会各界人士，向中央各部门、兄弟省市和驻沪三军、武警部队，向关心和支持上海发展的香港、澳门特别行政区同胞、台湾同胞、海外侨胞和国际友人，表示诚挚的感谢！　　各位代表，我们清醒地看到，在前进道路上还面临不少困难和问题：现代服务业发展相对滞后，先进制造业整体竞争力需要进一步提高，加快产业结构优化升级的要求更加迫切；自主创新动力不足，企业的创新主体地位有待进一步强化，完善创新机制的要求更加迫切；能源、土地资源和环境的约束趋紧，促进可持续发展的要求更加迫切；城乡社会事业发展还不平衡，教育、卫生等社会事业发展还有相对薄弱的地方，全面推进社会事业改革发展的要求更加迫切；就业和人口老龄化的压力较大，动拆迁等社会矛盾仍较突出，强化社会管理和公共服务的要求更加迫切；影响发展的体制机制问题亟待解决，改革攻坚、突破瓶颈的要求更加迫切。同时，政府工作中还存在一些不足和薄弱环节，部分行业的行风还有亟待改进的地方，政府自身建设和政府职能转变还需要不懈努力。对这些问题，必须给予高度重视，在今后的工作中切实加以解决。有改革开放以来奠定的坚实基础，有新世纪头五年的良好开端，有全市人民的团结奋斗、拼搏奉献，面向未来，我们充满信心！　　二、“十一五”时期的奋斗目标和主要任务　　“十一五”时期是上海新的发展机遇期，又是新的发展考验期。我们必须增强机遇意识、发展意识、大局意识、责任意识、忧患意识，以宽广的全球视野和敏锐的战略思维，深刻分析国内外环境，准确把握发展大势，把上海未来发展放在经济全球化的大趋势下、放在全国发展的大背景下、放在中央对上海发展的战略定位下来思考和谋划，牢牢抓住战略机遇，积极应对新的挑战，坚定不移地朝着宏伟目标阔步前进。　　根据《中共上海市委关于制定上海市国民经济和社会发展第十一个五年规划的建议》，“十一五”时期上海要以邓小平理论和“三个代表”重要思想为指导，全面贯彻落实科学发展观，努力构建和谐社会，围绕形成“四个中心”基本框架的发展目标，以增强城市国际竞争力为发展主线，深入实施科教兴市主战略，走可持续发展之路。要坚持遵循科学发展规律，保持经济平稳较快发展；坚持以科技进步为发展动力，提高自主创新能力；坚持转变城市发展模式，提升产业竞争力；坚持惠及广大群众的发展理念，促进城市和谐安康；坚持发挥浦东新区先行先试的作用，创新发展体制机制；坚持以办好世博会为载体，完善城市服务功能和文明发展环境。　　“十一五”时期的主要奋斗目标是：形成国际经济、金融、贸易、航运中心基本框架，办好一届成功、精彩、难忘的世博会，实现经济社会又快又好发展。这一奋斗目标，描绘了未来五年上海现代化建设的灿烂前景，表达了上海人民追求幸福的美好愿望。实现这一奋斗目标，上海的城市国际竞争力将显著增强，服务全国的能力将显著提升，城市文明程度将显著提高，人民生活将显著改善。　　建设“四个中心”是一项具有全局意义的国家战略，我们一定要不辱使命，全力以赴实施好这一国家战略。未来五年对“四个中心”建设至关重要。国际航运中心建设是“四个中心”建设的关键。要在“十五”取得重大突破的基础上，抓住机遇，乘势而上，实现航运中心建设的新突破，基本确立国际航运中心地位，成为世界上集装箱吞吐量最大的港口之一。国际金融中心建设是“四个中心”建设的核心。要按照国家统一部署，积极主动，全力进取，力争金融中心建设取得重大突破，在进一步巩固国内金融中心地位的基础上，成为具有国际影响的金融中心之一。　　未来五年，上海要努力实现经济社会全面协调可持续发展。　　——综合经济实力要再上新台阶。在优化结构、提高效益、降低消耗的基础上，
[全市生产总值预期年均增长9%以上，地方财政收入与国民经济保持同步增长。自主创新能力要有新提高。城市创新体系基本形成，到2010年全社会研究与开发经费支出相当于市生产总值的比例达到2.8%以上，科技进步贡献率达到65%左右，形成一批拥有自主知识产权和知名品牌、国际竞争力较强的优势企业。资源节约型、环境友好型城市建设要取得新成效。2010年万元生产总值综合能耗比2005年下降20%左右，环保投入相当于市生产总值的比例保持在3%以上。改革开放要实现新突破。浦东综合配套改革试点取得重大进展，国资、外资、民资共同推动经济发展的格局进一步完善，率先形成更具活力、更加开放、更符合国际规范的社会主义市场经济运行机制。民主法制建设和各项社会事业要取得新发展。教育、文化、卫生等社会事业发展质量进一步提升，更好地满足人民群众多样化需求，促进人的全面发展。2010年新增劳动力平均受教育年限达到14.5年。人民生活水平和质量要有新提升。城镇登记失业率控制在4. 5%左右，各类社会保障基本实现全覆盖，城乡居民收入持续稳定增长。　]　
